Angela Taylor,69118659-aba8-452f-8937-26b8c1d13191,Statistical Methods in Biomedical Research,9.9,8.8,3.3,4.1,,,,6.5
Claire Taylor,a61d50f6-c8fe-4e0a-987b-eef42d3d23a5,Bioinformatics,9.8,5.9,4,1.9,3.1,2.9,,4.6
Brittany James,d61b6683-4a8f-421f-ad02-256980b7d0aa,Introduction to Data Science,4,7.2,1.5,2.3,5.8,,,4.2
Anna Morales,a2be7b90-6b2b-4fd9-9c5b-0f7748c7a2a1,Statistical Methods in Biomedical Research,6.5,4.9,2.8,0.8,,,,3.8
Logan Sanders,f4f69098-adb3-4e17-99cf-8f767aed918a,Introduction to Data Science,2.9,5.5,4.9,2.3,2.2,,,3.6
Jack Cox,6f1ce534-fce7-42a9-a009-e8863c68b2b0,Introduction to Data Science,2.5,3.9,0.3,2.3,8.6,,,3.5
Ava Hall,57089215-27be-4682-bb70-b43bfd3577f1,Bioinformatics,0.2,1.8,5.7,0.7,3,7.6,,3.2
Isabella Mendoza,381be333-6d54-48c4-bd68-2940b7aa1d8c,Introduction to Data Science,2.5,1.9,1.9,5.4,7,,,3.7
Sarah Ross,5953a31b-df86-454e-914d-5742ab290e43,Big Data Analysis,7.9,2.4,9,6.9,,,,6.6
Adam Reyes,1b9a5469-0600-4aa6-95bd-55bb37486702,Machine Learning,1.2,0.2,5.4,,,,,2.3
Deborah Mendoza,d741c52d-a640-4692-a184-e01424743627,Machine Learning,5.4,6.3,4.2,,,,,5.3
Alexa Diaz,95311784-c665-4a50-829f-a37ea74b09bf,Statistical Methods in Biomedical Research,3,6.2,3.6,6.8,,,,4.9
Lily Price,fa645738-3c76-4f56-8782-2d9b77df5712,Machine Learning,9,8.6,1.6,,,,,6.4
Christian Jackson,1f128958-0490-4667-9e0e-f0f41f920d29,Bioinformatics,6.1,1,2.4,1,5.6,8.6,,4.1
Lillian Cooper,52aa64e0-ffa9-4068-959c-ecc3c220ba23,Statistical Methods in Biomedical Research,1,7.5,8.6,9.4,,,,6.6
Nathan Mitchell,c37d824e-0aac-4e53-8727-6a0a524ff682,Bioinformatics,5.2,6.4,7.6,7.1,3,0.5,,5
Audrey Scott,11999294-a779-49d8-89c0-0dd8fb5450af,Statistical Methods in Biomedical Research,2.5,1.4,1,1.6,,,,1.6
Deborah Clark,3a503ed4-9042-4528-8f52-b56c8e9101e8,Big Data Analysis,8.8,3.7,5.2,2,,,,4.9
Cameron Young,abb42269-3cc6-42b5-9a08-263bf3107a19,Machine Learning,4.6,7,2.1,,,,,4.6
Katherine Martinez,a50cc20c-fda8-4dfc-8419-8abfb8e0fa69,Machine Learning,9.1,1,2.2,,,,,4.1
Paul Wood,499e9f38-cafd-450a-b154-656688bf7d5e,Introduction to Data Science,9.4,3.6,0.5,6.3,3.2,,,4.6
Adrian Kim,9fdf5d3d-bece-46a6-8172-ad4cfba6d2a1,Bioinformatics,1.3,2.6,7.9,8.2,7.9,6.6,,5.8
Audrey Adams,81d3e7e2-02c8-40e8-a69f-69752c3ee63f,Statistical Methods in Biomedical Research,4.7,1.9,7.3,0.9,,,,3.7
Ashley Young,df603e91-c336-437e-9814-6390c5e63fed,Bioinformatics,2,4.6,7.3,3.6,8.7,8.2,,5.7
Noah Green,c7f66744-cb1d-4e67-b4ad-886a8dfb0a1c,Bioinformatics,7.7,7.4,3.3,1.8,1.2,6.1,,4.6
Caleb Nelson,42f4dd7b-6b8a-44fa-9efb-88d79f0aebab,Bioinformatics,6.5,6.8,5.3,7.7,2.5,7.3,,6
Ashley Ruiz,1495531c-d133-4053-80de-8d6a5d64b348,Machine Learning,4.3,0.7,2.4,,,,,2.5
Rebecca Young,22b8b162-2505-4a64-8966-cf69207c6a94,Bioinformatics,3.9,8,0.7,5.7,8.4,5.2,,5.3
Abigail Taylor,f19087d8-a57f-4a62-a73a-38ecc90fe12a,Statistical Methods in Biomedical Research,5.7,3.4,2.2,6.9,,,,4.6
Caleb Moore,2ead20d6-c840-419f-b5e0-a0431a67db7e,Big Data Analysis,7.6,5.7,0.9,6.5,,,,5.2
James Ward,46540637-8325-4ee2-81be-13913551ad66,Bioinformatics,3,9.1,9.7,4.3,4.1,3.4,,5.6
Angela Alvarez,415c0061-1dee-492b-8298-10039c953b8c,Bioinformatics,9.3,1,3.4,2.7,0.4,8.2,,4.2
Lillian Rogers,0a6de26a-03d6-4d1a-a9a8-15f71146e365,Machine Learning,7.5,7.6,7.3,,,,,7.5
Madison Nelson,097e3f6a-51a2-4632-b7d0-56ceff7edbc8,Machine Learning,0.7,10,6.6,,,,,5.8
Colin Ortiz,757b63e1-0528-4270-a4e5-829c39c4589e,Bioinformatics,0.2,8.8,1.6,4.7,3.4,9.7,,4.7
Brianna Stewart,ea5ab5bb-cd98-4fa1-bac5-1994e1432242,Big Data Analysis,8.8,0.6,7.8,2.7,,,,5
Charlotte Kim,88e4847c-d03b-4539-b3e2-dd193af06447,Statistical Methods in Biomedical Research,3.6,1.1,5.3,5.7,,,,3.9
Christopher Miller,f9d0b52d-59a9-4c96-a124-2930daa2f206,Big Data Analysis,5.1,4.1,4.3,6.9,,,,5.1
Dylan Cook,fbb0d12e-3519-4baa-b233-3f25cb868fc3,Introduction to Data Science,3.2,0.5,4.5,7.9,0.5,,,3.3
Benjamin Anderson,d6b82355-a770-4b0e-99d3-b0c435f4a99c,Bioinformatics,3.7,1.3,0.3,1.1,1.3,6.5,,2.4
Eva Cox,612bf4b8-6783-4b07-b900-c6b1a94e2ccd,Machine Learning,7.5,9.6,1.4,,,,,6.2
Brandon Williams,3f234c91-0a50-431b-8050-d604ca2dfc82,Introduction to Data Science,7.1,9.5,2.9,9.9,4.7,,,6.8
Joseph Cook,0e0a7f30-9f39-425b-b65e-e8cbb0d78a02,Bioinformatics,9.5,7.8,5.4,7.3,1.1,4.2,,5.9
Gregory Sanchez,a6fdf8e1-c312-4685-8e26-608378e9cb4c,Big Data Analysis,1.6,8.5,4.5,4.6,,,,4.8
Rebecca Adams,9797305b-670e-4ccf-86aa-e6d6f62543f4,Bioinformatics,6.2,6.5,3.7,6.6,9.3,5.3,,6.3
William Myers,9eeaf1ba-5fe9-401f-8922-a9d7f1c1ced5,Machine Learning,5,1.6,8,,,,,4.9
Kayla Turner,b1ab43e2-94da-4d47-9f64-1871d9d2dde8,Machine Learning,3,5.5,4.1,,,,,4.2
Brianna Castillo,65aaceb7-c81b-4e42-9f24-3dd90333513e,Machine Learning,9.5,9.6,7.8,,,,,9
James Jones,37a5d9cc-d448-47fd-b1ff-0f558ae9c7f1,Big Data Analysis,6.8,3.9,6.6,2.8,,,,5
Jennifer Ramos,189c2f09-4d79-44cc-8d22-68bf2eb6acaf,Statistical Methods in Biomedical Research,2.3,9.3,2,3.2,,,,4.2
Sophia Campbell,dc6efd42-1050-470c-8543-ec5422874a37,Bioinformatics,7.8,7.9,2.5,8.7,7.3,6.1,,6.7
Diana Gomez,b87ead1e-621a-4a14-a7a3-1e9a01ed8606,Machine Learning,1.4,8.8,7.9,,,,,6
Amber Chavez,983b5481-65c8-4cec-80f5-5a9bc61ebe08,Machine Learning,8.9,4.3,5.7,,,,,6.3
Sophia James,498aa049-de3f-4b8a-8bb6-d94052d2d2e1,Introduction to Data Science,9,2.1,6.9,4.7,0.5,,,4.6
Ashley Ramos,a9ce196b-563d-4d38-b990-b4bafa0e773d,Big Data Analysis,1.7,1.4,6.5,1.2,,,,2.7
Lily Collins,331a00da-484b-4043-8ec5-d34db04fd06a,Machine Learning,8.7,3.9,6.4,,,,,6.3
Noah Williams,4d8ab09f-57ab-4419-9c9a-003c0c7f6448,Bioinformatics,0.3,7,1.7,4.2,5.4,3.6,,3.7
Austin Williams,a99ecb29-57ed-4d36-b790-d1704c170241,Machine Learning,0.7,3.4,7.1,,,,,3.7
Andrew Young,eebdda47-75ff-46ae-b248-9817d7b6a992,Statistical Methods in Biomedical Research,5.6,2.8,6.7,1.4,,,,4.1
Heather Ramirez,c2566259-9c35-4364-a16f-f9fa27e79c19,Statistical Methods in Biomedical Research,5.5,9,6,4.4,,,,6.2
Henry Turner,df519cbf-9af4-4784-b5cc-1e43e18b1088,Big Data Analysis,4.6,4.8,8.1,8.8,,,,6.6
Jason Baker,979f7b80-f9e3-40c0-af27-f1b5cf4fc87e,Introduction to Data Science,4.6,8.6,8.5,2.9,0.6,,,5
Jackson Ramirez,5f3104bd-a3eb-41bb-8367-c12b580db78b,Machine Learning,0.8,3.5,8.1,,,,,4.1
Jack Myers,dd033c95-8f4a-4c6c-b4d8-c6fe17b44735,Introduction to Data Science,6.4,6.2,7.1,8.1,1.2,,,5.8
Aaron Walker,f788b742-d390-48f2-8fb4-ab1b830c46f5,Bioinformatics,8.2,4,3.2,10,1.7,3.4,,5.1
David Ross,44d2e169-de83-404e-91c6-f60680ba286b,Statistical Methods in Biomedical Research,6.5,7.1,3.4,7.7,,,,6.2
Gabriel Peterson,7b416ac2-df8f-43c0-bf69-ae154b84c3c7,Statistical Methods in Biomedical Research,9.7,7.5,0.4,2.1,,,,4.9
Ashley Morris,9b9471dc-9839-479b-a2ef-65b122e29f9e,Bioinformatics,8.2,7.1,1.3,5.6,3.7,3.8,,5
Amber Long,ce779334-6b9d-460f-8bb8-4d55e524845d,Statistical Methods in Biomedical Research,2.1,1.7,8.9,3.9,,,,4.2
Hannah Jones,eed6b5a8-2f25-4d03-9567-528402affa42,Machine Learning,5.9,7.4,3.9,,,,,5.7
